COUNTRY,Country,SPECIES,Species,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,654,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,600,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,453,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,522,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,491,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,522,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,469,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,542,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,526,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,480,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,501,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,452,,
CAN,Canada,LAT,Lake trout(=Char) [Salvelinus namaycush],TON,Tonne,2017,2017,TONNE,Tonnes,0,Units,,,262,,
CAN,Canada,24,Shads,TON,Tonne,2005,2005,TONNE,Tonnes,0,Units,,,1196,,
CAN,Canada,24,Shads,TON,Tonne,2006,2006,TONNE,Tonnes,0,Units,,,1166,,
CAN,Canada,24,Shads,TON,Tonne,2007,2007,TONNE,Tonnes,0,Units,,,1166,,
CAN,Canada,24,Shads,TON,Tonne,2008,2008,TONNE,Tonnes,0,Units,,,956,,
CAN,Canada,24,Shads,TON,Tonne,2009,2009,TONNE,Tonnes,0,Units,,,959,,
CAN,Canada,24,Shads,TON,Tonne,2010,2010,TONNE,Tonnes,0,Units,,,38,,
CAN,Canada,24,Shads,TON,Tonne,2011,2011,TONNE,Tonnes,0,Units,,,693,,
CAN,Canada,24,Shads,TON,Tonne,2012,2012,TONNE,Tonnes,0,Units,,,565,,
CAN,Canada,24,Shads,TON,Tonne,2013,2013,TONNE,Tonnes,0,Units,,,822,,
CAN,Canada,24,Shads,TON,Tonne,2014,2014,TONNE,Tonnes,0,Units,,,848,,
CAN,Canada,24,Shads,TON,Tonne,2015,2015,TONNE,Tonnes,0,Units,,,1028,,
CAN,Canada,24,Shads,TON,Tonne,2016,2016,TONNE,Tonnes,0,Units,,,993,,
